timestamp,UP,Pressure (Pa)
155882,39931,120735
156382,39932,120738
156882,39933,120741
157382,39930,120731
157882,39931,120735
158382,39929,120728
158882,39929,120728
159382,39930,120731
159882,39930,120731
160382,39931,120735
160882,39927,120722
161382,39930,120731
161882,39928,120725
162382,39928,120725
162882,39928,120725
163382,39925,120716
163883,39926,120719
164382,39928,120725
164882,39926,120719
165382,39925,120716
165882,39922,120707
166382,39925,120716
166882,39923,120710
167382,39922,120707
167882,39924,120713
168382,39924,120713
168882,39923,120710
169382,39924,120713
169882,39922,120707
170382,39922,120707
170882,39922,120707
171382,39918,120696
171882,39922,120707
172382,39922,120707
172882,39918,120696
173382,39918,120696
173882,39916,120690
174382,39917,120693
174882,39916,120690
175382,39917,120693
175882,39918,120696
176382,39915,120687
176882,39913,120681
177382,39916,120690
177882,39912,120678
178382,39913,120681
178882,39912,120678
179382,39915,120687
179883,39914,120684
180382,39911,120674
180882,39912,120678
181382,39910,120671
181882,39913,120681
182382,39912,120678
182882,39910,120671
183382,39910,120671
183882,39910,120671
184382,39908,120665
184882,39907,120662
185382,39908,120665
185882,39908,120665
186382,39910,120671
186882,39907,120662
187382,39907,120662
187882,39906,120659
188382,39903,120650
188882,39906,120659
189382,39902,120647
189882,39901,120644
190382,39904,120653
190882,39905,120656
191382,39901,120644
191882,39904,120653
192382,39901,120644
192882,39901,120644
193382,39899,120638
193882,39898,120635
194382,39901,120644
194882,39898,120635
195382,39898,120635
195883,39899,120638
196382,39897,120632
196882,39898,120635
197382,39899,120638
197882,39897,120632
198382,39897,120632
198882,39896,120629
199382,39892,120616
199882,39896,120629
200382,39896,120629
200882,39896,120629
201382,39894,120623
201882,39895,120626
202382,39893,120619
202882,39894,120623
203382,39891,120613
203882,39892,120616
204382,39893,120619
204882,39890,120610
205382,39890,120610
205882,39888,120601
206382,39888,120601
206882,39888,120601
207382,39889,120604
207882,39890,120610
208382,39887,120599
208882,39885,120593
209382,39885,120593
209882,39887,120599
210382,39886,120596
210882,39887,120599
211382,39886,120596
211883,39885,120593
212382,39884,120590
212882,39883,120587
213382,39885,120593
213882,39882,120584
214382,39884,120590
214882,39882,120584
215382,39884,120590
215882,39882,120584
216382,39879,120575
216882,39881,120581
217382,39880,120578
217882,39880,120578
218382,39878,120572
218882,39878,120572
219382,39878,120572
219882,39876,120566
220382,39879,120575
220882,39876,120566
221382,39877,120569
221882,39872,120553
222382,39876,120566
222882,39876,120566
223382,39876,120566
223882,39874,120559
224382,39872,120553
224882,39870,120547
225382,39874,120559
225882,39869,120544
226382,39873,120556
226882,39869,120544
227382,39871,120550
227883,39870,120547
228382,39868,120541
228882,39868,120541
229382,39866,120535
229882,39868,120541
230382,39866,120535
230882,39868,120541
231382,39865,120532
231882,39866,120535
232382,39863,120526
232882,39866,120535
233382,39866,120535
233882,39862,120523
234382,39861,120520
234882,39863,120526
235382,39864,120529
235882,39862,120523
236382,39863,120526
236882,39860,120517
237382,39862,120523
237882,39860,120517
238382,39860,120517
238882,39859,120514
239382,39858,120511
239882,39859,120514
240382,39858,120511
240882,39857,120508
241382,39858,120511
241882,39858,120511
242382,39856,120504
242882,39854,120498
243382,39855,120501
243883,39854,120498
244382,39855,120501
244882,39854,120498
245382,39852,120492
245882,39850,120486
246382,39853,120495
246882,39851,120489
247382,39850,120486
247882,39854,120498
248382,39851,120489
248882,39851,120489
249382,39848,120480
249882,39848,120480
250382,39849,120483
250882,39847,120477
251382,39846,120474
251882,39845,120471
252382,39846,120474
252882,39848,120480
253382,39846,120474
253882,39846,120474
254382,39845,120471
254882,39845,120471
255382,39842,120462
255882,39845,120471
256382,39845,120471
256882,39845,120471
257382,39843,120465
257882,39844,120468
258382,39845,120471
258882,39841,120459
